,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
214,215,    P-2431,   2023/02/01 03:34:08,           1-09,1,-1.298,-2.891,0.185,0.23,21400.0,-1,1,USGS48,                                T1V9-ID2,                 H2O,1675240756,0.2,0.175,0.405,0.144,152.151,0,-0.005,3.625,100.929,26.149,1.137,63.978,0.871,0.033,0,0,0,"    
21.77",41.188,1,9,3,WassenaarRS,0,1,-1.9811940767560903,-1.0284905532293929,0.018088264968636025
215,216,    P-2431,   2023/02/01 03:43:08,           1-09,2,-1.328,-2.962,-0.505,0.237,20809.0,-1,1,USGS48,                                T1V9-ID2,                 H2O,1675241295,0.183,0.146,0.386,0.144,152.83,0,-0.004,3.626,98.331,25.398,1.098,62.285,0.872,0.039,0,0,0,"    
21.68",41.5,1,9,3,WassenaarRS,0,1,-2.0518674845817744,-1.0580340912203736,0.02590483249477593
216,217,    P-2431,   2023/02/01 03:52:08,           1-09,3,-1.345,-2.989,-0.069,0.235,20078.0,-1,1,USGS48,                                T1V9-ID2,                 H2O,1675241835,0.214,0.156,0.367,0.16,146.658,0,-0.004,3.519,95.131,24.566,1.053,60.022,0.871,0.034,0,0,0,"    
21.71",41.75,1,9,3,WassenaarRS,0,1,-2.0787432875577383,-1.0747754294152625,0.02336541438347206
217,218,    P-2431,   2023/02/01 04:01:07,           1-09,4,-1.322,-2.951,-0.068,0.238,20191.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675242375,0.231,0.19,0.452,0.166,144.007,0.001,-0.005,3.434,95.65,24.706,1.055,60.269,0.871,-0.013,0,0,0,"    
21.75",41.688,1,9,3,WassenaarRS,0,1,-2.0409180833693443,-1.0521253836221776,0.02602664195734561
218,219,    P-2431,   2023/02/01 04:10:07,           1-09,5,-1.329,-2.987,-0.091,0.25,20034.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675242915,0.219,0.196,0.43,0.152,148.775,-0.001,-0.003,3.553,94.971,24.402,1.053,60.04,0.87,0.036,0,0,0,"    
21.84",41.062,1,9,3,WassenaarRS,0,1,-2.0767524873372967,-1.059018875820073,0.03808546548271785
219,220,    P-2431,   2023/02/01 04:19:06,           1-09,6,-1.348,-3.005,-0.072,0.24,20203.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675243454,0.206,0.198,0.387,0.143,151.391,0,-0.003,3.589,95.693,24.619,1.061,60.621,0.871,0.008,0,0,0,"    
21.74",41.125,1,9,3,WassenaarRS,0,1,-2.0946696893212726,-1.0777297832143606,0.02883460175900665
220,221,    P-2431,   2023/02/01 04:28:06,           1-09,7,-1.331,-2.98,0.019,0.244,20139.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675243994,0.23,0.19,0.403,0.161,145.986,0.001,-0.005,3.507,95.45,24.553,1.055,60.079,0.871,-0.042,0,0,0,"    
21.71",41.562,1,9,3,WassenaarRS,0,1,-2.0697846865657503,-1.0609884450194715,0.032427164110493845
221,222,    P-2431,   2023/02/01 04:37:06,           1-09,8,-1.367,-3.016,0.037,0.227,20106.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675244534,0.207,0.178,0.411,0.145,145.1,0,-0.004,3.486,95.192,24.614,1.057,60.345,0.871,0.087,0,0,0,"    
21.61",41.875,1,9,3,WassenaarRS,0,1,-2.1056190905337027,-1.0964406906086483,0.015896782800962628
222,223,    P-2431,   2023/02/01 04:46:06,           1-09,9,-1.337,-2.976,0.019,0.236,20137.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675245074,0.209,0.162,0.414,0.16,147.458,-0.001,-0.004,3.502,95.398,24.483,1.063,60.489,0.87,0.056,0,0,0,"    
21.69",41.562,1,9,3,WassenaarRS,0,1,-2.0658030861248666,-1.0668971526176676,0.0244055221573507
223,224,    P-2431,   2023/02/01 04:55:05,           1-09,10,-1.339,-3.002,0.009,0.248,19967.0,0,1,USGS48,                                T1V9-ID2,                 H2O,1675245613,0.218,0.18,0.454,0.157,148.468,0,-0.006,3.546,94.626,24.465,1.041,59.769,0.87,0.042,0,0,0,"    
21.63",40.938,1,9,3,WassenaarRS,0,1,-2.09168348899061,-1.0688667218170664,0.03612716504802904
